# StructLab CSV - 3D barrel-vault double-layer space frame (78 x 30 m plan, 6 m module)
# Units: SI. Z = UP, downward load = Fz<0. Bars only (pin-jointed, axial forces).
# Concept follows the Lecture 37 space-frame roof: square-on-square offset grid, parabolic
# vault along X (springing z=15 m, rise 4 m), 4 m deep, carried on 4 corner tripod legs.
# Centred on the origin. Groups: Bottom chord / Top chord / Web / Leg. 20 kN per top node.
#NODES
id,x,y,z
52,55,56,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
53,57,58,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
54,58,59,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
55,59,60,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
56,60,61,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
57,61,62,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
58,62,63,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
59,63,64,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
60,64,65,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
61,65,66,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
62,66,67,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
63,67,68,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
64,68,69,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
65,69,70,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
66,71,72,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
67,72,73,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
68,73,74,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
69,74,75,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
70,75,76,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
71,76,77,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
72,77,78,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
73,78,79,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
74,79,80,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
75,80,81,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
76,81,82,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
77,82,83,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
78,83,84,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
79,1,15,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
80,2,16,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
81,3,17,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
82,4,18,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
83,5,19,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
84,6,20,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
85,7,21,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
86,8,22,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
87,9,23,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
88,10,24,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
89,11,25,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
90,12,26,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
91,13,27,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
92,14,28,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
93,15,29,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
94,16,30,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
95,17,31,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
96,18,32,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
97,19,33,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
98,20,34,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
99,21,35,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
100,22,36,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
101,23,37,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
102,24,38,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
103,25,39,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
104,26,40,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
105,27,41,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
106,28,42,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
107,29,43,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
108,30,44,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
109,31,45,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
110,32,46,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
111,33,47,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
112,34,48,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
113,35,49,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
114,36,50,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
115,37,51,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
116,38,52,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
117,39,53,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
118,40,54,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
119,41,55,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
120,42,56,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
121,43,57,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
122,44,58,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
123,45,59,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
124,46,60,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
125,47,61,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
126,48,62,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
127,49,63,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
128,50,64,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
129,51,65,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
130,52,66,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
131,53,67,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
132,54,68,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
133,55,69,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
134,56,70,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
135,57,71,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
136,58,72,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
137,59,73,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
138,60,74,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
139,61,75,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
140,62,76,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
141,63,77,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
142,64,78,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
143,65,79,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
144,66,80,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
145,67,81,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
146,68,82,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
147,69,83,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
148,70,84,bar,Bottom chord,2.1e+11,0.005,2.75e+08,7850
149,85,86,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
150,86,87,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
151,87,88,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
152,88,89,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
153,89,90,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
154,90,91,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
155,91,92,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
156,92,93,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
157,93,94,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
158,94,95,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
159,95,96,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
160,96,97,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
161,98,99,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
162,99,100,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
163,100,101,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
164,101,102,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
165,102,103,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
166,103,104,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
167,104,105,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
168,105,106,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
169,106,107,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
170,107,108,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
171,108,109,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
172,109,110,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
173,111,112,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
174,112,113,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
175,113,114,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
176,114,115,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
177,115,116,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
178,116,117,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
179,117,118,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
180,118,119,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
181,119,120,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
182,120,121,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
183,121,122,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
184,122,123,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
185,124,125,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
186,125,126,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
187,126,127,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
188,127,128,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
189,128,129,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
190,129,130,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
191,130,131,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
192,131,132,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
193,132,133,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
194,133,134,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
195,134,135,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
196,135,136,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
197,137,138,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
198,138,139,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
199,139,140,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
200,140,141,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
201,141,142,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
202,142,143,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
203,143,144,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
204,144,145,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
205,145,146,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
206,146,147,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
207,147,148,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
208,148,149,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
209,85,98,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
210,86,99,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
211,87,100,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
212,88,101,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
213,89,102,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
214,90,103,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
215,91,104,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
216,92,105,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
217,93,106,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
218,94,107,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
219,95,108,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
220,96,109,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
221,97,110,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
222,98,111,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
223,99,112,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
224,100,113,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
225,101,114,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
226,102,115,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
227,103,116,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
228,104,117,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
229,105,118,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
230,106,119,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
231,107,120,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
232,108,121,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
233,109,122,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
234,110,123,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
235,111,124,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
236,112,125,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
237,113,126,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
238,114,127,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
239,115,128,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
240,116,129,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
241,117,130,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
242,118,131,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
243,119,132,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
244,120,133,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
245,121,134,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
246,122,135,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
247,123,136,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
248,124,137,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
249,125,138,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
250,126,139,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
251,127,140,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
252,128,141,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
253,129,142,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
254,130,143,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
255,131,144,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
256,132,145,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
257,133,146,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
258,134,147,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
259,135,148,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
260,136,149,bar,Top chord,2.1e+11,0.005,2.75e+08,7850
261,85,1,bar,Web,2.1e+11,0.003,2.75e+08,7850
262,85,15,bar,Web,2.1e+11,0.003,2.75e+08,7850
263,85,2,bar,Web,2.1e+11,0.003,2.75e+08,7850
264,85,16,bar,Web,2.1e+11,0.003,2.75e+08,7850
265,86,2,bar,Web,2.1e+11,0.003,2.75e+08,7850
266,86,16,bar,Web,2.1e+11,0.003,2.75e+08,7850
267,86,3,bar,Web,2.1e+11,0.003,2.75e+08,7850
268,86,17,bar,Web,2.1e+11,0.003,2.75e+08,7850
269,87,3,bar,Web,2.1e+11,0.003,2.75e+08,7850
270,87,17,bar,Web,2.1e+11,0.003,2.75e+08,7850
271,87,4,bar,Web,2.1e+11,0.003,2.75e+08,7850
272,87,18,bar,Web,2.1e+11,0.003,2.75e+08,7850
273,88,4,bar,Web,2.1e+11,0.003,2.75e+08,7850
274,88,18,bar,Web,2.1e+11,0.003,2.75e+08,7850
275,88,5,bar,Web,2.1e+11,0.003,2.75e+08,7850
276,88,19,bar,Web,2.1e+11,0.003,2.75e+08,7850
277,89,5,bar,Web,2.1e+11,0.003,2.75e+08,7850
278,89,19,bar,Web,2.1e+11,0.003,2.75e+08,7850
279,89,6,bar,Web,2.1e+11,0.003,2.75e+08,7850
280,89,20,bar,Web,2.1e+11,0.003,2.75e+08,7850
281,90,6,bar,Web,2.1e+11,0.003,2.75e+08,7850
282,90,20,bar,Web,2.1e+11,0.003,2.75e+08,7850
283,90,7,bar,Web,2.1e+11,0.003,2.75e+08,7850
284,90,21,bar,Web,2.1e+11,0.003,2.75e+08,7850
285,91,7,bar,Web,2.1e+11,0.003,2.75e+08,7850
286,91,21,bar,Web,2.1e+11,0.003,2.75e+08,7850
287,91,8,bar,Web,2.1e+11,0.003,2.75e+08,7850
288,91,22,bar,Web,2.1e+11,0.003,2.75e+08,7850
289,92,8,bar,Web,2.1e+11,0.003,2.75e+08,7850
290,92,22,bar,Web,2.1e+11,0.003,2.75e+08,7850
291,92,9,bar,Web,2.1e+11,0.003,2.75e+08,7850
292,92,23,bar,Web,2.1e+11,0.003,2.75e+08,7850
293,93,9,bar,Web,2.1e+11,0.003,2.75e+08,7850
294,93,23,bar,Web,2.1e+11,0.003,2.75e+08,7850
295,93,10,bar,Web,2.1e+11,0.003,2.75e+08,7850
296,93,24,bar,Web,2.1e+11,0.003,2.75e+08,7850
297,94,10,bar,Web,2.1e+11,0.003,2.75e+08,7850
298,94,24,bar,Web,2.1e+11,0.003,2.75e+08,7850
299,94,11,bar,Web,2.1e+11,0.003,2.75e+08,7850
300,94,25,bar,Web,2.1e+11,0.003,2.75e+08,7850
301,95,11,bar,Web,2.1e+11,0.003,2.75e+08,7850
302,95,25,bar,Web,2.1e+11,0.003,2.75e+08,7850
303,95,12,bar,Web,2.1e+11,0.003,2.75e+08,7850
304,95,26,bar,Web,2.1e+11,0.003,2.75e+08,7850
305,96,12,bar,Web,2.1e+11,0.003,2.75e+08,7850
306,96,26,bar,Web,2.1e+11,0.003,2.75e+08,7850
307,96,13,bar,Web,2.1e+11,0.003,2.75e+08,7850
308,96,27,bar,Web,2.1e+11,0.003,2.75e+08,7850
309,97,13,bar,Web,2.1e+11,0.003,2.75e+08,7850
310,97,27,bar,Web,2.1e+11,0.003,2.75e+08,7850
311,97,14,bar,Web,2.1e+11,0.003,2.75e+08,7850
312,97,28,bar,Web,2.1e+11,0.003,2.75e+08,7850
313,98,15,bar,Web,2.1e+11,0.003,2.75e+08,7850
314,98,29,bar,Web,2.1e+11,0.003,2.75e+08,7850
315,98,16,bar,Web,2.1e+11,0.003,2.75e+08,7850
316,98,30,bar,Web,2.1e+11,0.003,2.75e+08,7850
317,99,16,bar,Web,2.1e+11,0.003,2.75e+08,7850
318,99,30,bar,Web,2.1e+11,0.003,2.75e+08,7850
319,99,17,bar,Web,2.1e+11,0.003,2.75e+08,7850
320,99,31,bar,Web,2.1e+11,0.003,2.75e+08,7850
321,100,17,bar,Web,2.1e+11,0.003,2.75e+08,7850
322,100,31,bar,Web,2.1e+11,0.003,2.75e+08,7850
323,100,18,bar,Web,2.1e+11,0.003,2.75e+08,7850
324,100,32,bar,Web,2.1e+11,0.003,2.75e+08,7850
325,101,18,bar,Web,2.1e+11,0.003,2.75e+08,7850
326,101,32,bar,Web,2.1e+11,0.003,2.75e+08,7850
327,101,19,bar,Web,2.1e+11,0.003,2.75e+08,7850
328,101,33,bar,Web,2.1e+11,0.003,2.75e+08,7850
329,102,19,bar,Web,2.1e+11,0.003,2.75e+08,7850
330,102,33,bar,Web,2.1e+11,0.003,2.75e+08,7850
331,102,20,bar,Web,2.1e+11,0.003,2.75e+08,7850
332,102,34,bar,Web,2.1e+11,0.003,2.75e+08,7850
333,103,20,bar,Web,2.1e+11,0.003,2.75e+08,7850
334,103,34,bar,Web,2.1e+11,0.003,2.75e+08,7850
335,103,21,bar,Web,2.1e+11,0.003,2.75e+08,7850
